razon,id,fecha,primera_vez,primer_id,nombre_proyecto,url
TITULO_CROSS_URL,BOLR-20250611-0,20250611,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250612-0,20250612,-,-,Parque Fotovoltaico Najerilla Solar POT,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250613-0,20250613,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250616019,20250616,20250616,BOA20250616018,Planta Fotovoltaica La Santa María,
TITULO_DUPLICADO_SIN_URL,BOA20250616038,20250616,20250422,BOA20250422036,Almacenamiento Mediano,
TITULO_DUPLICADO_SIN_URL,BOA20250616041,20250616,20250422,BOA20250422036,Reforma LAT 132kV Subestación Amantes-Platea y Nueva SET Amantes 400/132kV,
TITULO_CROSS_URL,BOLR-20250616-0,20250616,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250617016,20250617,20250617,BOA20250617015,Planta Fotovoltaica El Descubrimiento 43,
TITULO_CROSS_URL,BOLR-20250617-0,20250617,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOPA-20250618-0,20250618,20250514,BOPA-20250514-0,Variante LAT Ferreros,
TITULO_DUPLICADO_SIN_URL,BOA20250618018,20250618,20250616,BOA20250616018,Planta Fotovoltaica La Pinta,
TITULO_DUPLICADO_SIN_URL,BOA20250618019,20250618,20250616,BOA20250616018,Planta Fotovoltaica Riberas del Ebro 2,
TITULO_DUPLICADO_SIN_URL,BOA20250618020,20250618,20250616,BOA20250616018,Planta Solar Fotovoltaica Saraqusta,
TITULO_DUPLICADO_SIN_URL,BOA20250618044,20250618,20250618,BOA20250618043,Parque Fotovoltaico Fraga 2,
TITULO_CROSS_URL,BOLR-20250618-0,20250618,-,-,Parque Fotovoltaico Najerilla Solar POT,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250619-0,20250619,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250620-0,20250620,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
