distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
UFD,ARGANDA,15.0,MADRID,5,4,4,60.0,8.0,14.5,2026-02-01,2026-10-01,2026-12-31,en 129d,0.69,2022-02-27|2022-10-23|2024-10-23|2025-10-01|2026-02-01,,
iDE,LIRIA T1,20.0,VALENCIA,3,2,4,100.0,7.5,7.5,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2024-12-02|2025-10-01|2025-11-01,,
iDE,VALDERA2 T1,45.0,MADRID,5,3,4,60.0,7.0,7.4,2026-01-01,2026-10-01,2026-12-31,en 129d,0.69,2024-04-29|2024-12-02|2025-10-01|2025-11-01|2026-01-01,,
iDE,VALDERA2 T1,15.0,MADRID,5,3,4,60.0,6.8,6.9,2026-01-01,2026-10-01,2026-12-31,en 129d,0.69,2024-04-29|2024-12-02|2025-10-01|2025-11-01|2026-01-01,,
REE,ZIERBENA,400.0,,6,3,1,50.0,177.8,450.0,2026-03-02,2027-01-01,2027-03-31,en 221d,0.68,2024-03-01|2024-07-01|2025-04-01|2025-05-05|2026-02-20|2026-03-02,,
REE,LA TORRECILLA,220.0,,6,3,4,50.0,167.0,401.0,2026-02-20,2026-10-01,2026-12-31,en 129d,0.68,2024-08-01|2024-11-04|2025-07-01|2025-10-01|2025-12-01|2026-02-20,,
iDE,TORRENTE    132.00,132.0,VALENCIA,6,3,4,50.0,138.6,191.7,2026-03-01,2026-10-01,2026-12-31,en 129d,0.68,2024-05-29|2024-12-02|2025-10-01|2025-11-01|2026-01-01|2026-03-01,,
REE,CONSO,220.0,,6,3,1,50.0,88.3,419.0,2026-05-01,2027-01-01,2027-03-31,en 221d,0.68,2024-01-02|2024-12-02|2025-03-03|2025-06-02|2026-02-20|2026-05-01,,
REE,JALON,220.0,,6,3,1,50.0,78.5,254.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.68,2024-11-04|2025-02-03|2025-03-03|2025-07-01|2025-08-01|2026-02-20,,
iDE,SERRALLO    66.000,66.0,CASTELLÓN,6,3,1,50.0,46.3,84.6,2026-03-01,2027-01-01,2027-03-31,en 221d,0.68,2024-08-27|2025-01-30|2025-02-26|2025-10-01|2025-11-01|2026-03-01,,
