fecha,distribuidora,provincia,subestacion,tension_kv,disponible_neta,prev_disp,delta,mes,trimestre,año
2024-09-26,iDE,VALENCIA,F.S.LUIS T1,20.0,34.98,19.96,15.019999999999996,9,3,2024
2025-10-01,iDE,VALENCIA,F.S.LUIS T1,20.0,34.7282,0.0,34.7282,10,4,2025
2025-11-01,iDE,VALENCIA,F.S.LUIS T1,20.0,34.73,0.0,34.73,11,4,2025
2024-09-26,iDE,VALENCIA,F.S.LUIS T2,20.0,29.71,14.73,14.98,9,3,2024
2025-10-01,iDE,VALENCIA,F.S.LUIS T2,20.0,30.3488,0.0,30.3488,10,4,2025
2025-11-01,iDE,VALENCIA,F.S.LUIS T2,20.0,30.35,0.0,30.35,11,4,2025
2024-08-27,iDE,VALENCIA,F.S.LUIS T3,20.0,33.17,18.27,14.900000000000002,8,3,2024
2025-10-01,iDE,VALENCIA,F.S.LUIS T3,20.0,33.3557,0.0,33.3557,10,4,2025
2025-11-01,iDE,VALENCIA,F.S.LUIS T3,20.0,33.36,0.0,33.36,11,4,2025
2025-10-03,iDE,MURCIA,FAUSITA     132.00,132.0,9.27,-62.94,72.21,10,4,2025
2025-10-03,iDE,MURCIA,FAUSITA     66.000,66.0,8.0,0.0,8.0,10,4,2025
2025-10-01,iDE,MURCIA,FAUSITA T1,20.0,8.03,0.0,8.03,10,4,2025
2025-10-01,iDE,MURCIA,FAUSITA T2,20.0,8.03,0.0,8.03,10,4,2025
2026-05-01,iDE,Madrid,FELIPE2 T1,15.0,5.06,0.0,5.06,5,2,2026
2026-05-01,iDE,Madrid,FELIPE2 T1,45.0,5.06,0.0,5.06,5,2,2026
2024-12-02,iDE,MADRID,FORTUN/A    45.000,45.0,88.54,78.38,10.16000000000001,12,4,2024
2024-04-29,iDE,MADRID,FORTUN/A   45,45.0,98.31,10.0,88.31,4,2,2024
2023-11-30,iDE,MADRID,FORTUN/B 45.000,45.0,91.52,56.43,35.089999999999996,11,4,2023
2025-10-01,iDE,MADRID,FORTUNA A1    45.000,45.0,68.13,0.0,68.13,10,4,2025
2025-11-01,iDE,MADRID,FORTUNA A1    45.000,45.0,68.13,0.0,68.13,11,4,2025
2025-10-01,iDE,MADRID,FORTUNA B1    45.000,45.0,75.22,0.0,75.22,10,4,2025
2025-11-01,iDE,MADRID,FORTUNA B1    45.000,45.0,75.22,0.0,75.22,11,4,2025
2024-01-31,iDE,MADRID,FORTUNA T3,15.0,34.9,26.5,8.399999999999999,1,1,2024
2025-10-01,iDE,MADRID,FORTUNA T3,15.0,35.0,0.0,35.0,10,4,2025
