fecha,ccaa,provincia,subestacion,tension_kv,lat,lon,disponible,ocupada_total,admitida_total,disponible_neta
2021-07-01,01 - Andalucía,Almería,S_TOMAS,20,36.82366013,-2.44310112,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,SERON,132,37.41712227,-2.56632547,0.0,244.5,0.0,0.0
2021-07-01,01 - Andalucía,Almería,TERREROS,132,37.38677936,-1.68034759,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,TERREROS,25,37.38677936,-1.68034759,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,TOMILLAR,66,36.78898869,-2.80402605,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,TOMILLAR,20,36.78898869,-2.80402605,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,TORRECAR,66,36.86762929,-2.44896061,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,TORRECAR,20,36.86762929,-2.44896061,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,TOYO,132,36.85974944,-2.33055213,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,TOYO,20,36.85974944,-2.33055213,0.0,2.9,0.0,0.0
2021-07-01,01 - Andalucía,Almería,TURRILLA,132,37.02473294,-2.24450727,0.0,28.9,0.0,0.0
2021-07-01,01 - Andalucía,Almería,VERA,132,37.25449975,-1.8864902,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,VERA,66,37.25449975,-1.8864902,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,VERA,25,37.25449975,-1.8864902,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Almería,VILLARIC,66,37.25802849,-1.76497343,0.0,22.3,0.0,0.0
2021-07-01,01 - Andalucía,Almería,VILLARIC,25,37.25802849,-1.76497343,0.0,0.0,0.0,0.0
