distribuidora,subestacion,tension_kv,provincia,n_eventos,mes_top,mes_top_pct,trimestre_top,tri_top_pct,avg_delta_mw,max_delta_mw,patron_claro,fechas_eventos
Endesa,NERJA,66.0,Málaga,4,10,25.0,4,50.0,15.3,30.5,True,2025-10-01|2025-12-01|2026-03-01|2026-05-01
Endesa,VEGASBAJ,20.0,Badajoz,4,5,50.0,2,50.0,14.9,22.1,True,2022-03-01|2022-05-01|2025-12-01|2026-05-01
Endesa,PLAZA,45.0,Zaragoza,4,9,25.0,4,50.0,14.7,17.7,True,2021-09-01|2021-11-01|2021-12-01|2022-04-01
iDE,TAFALLA     66.000,66.0,NAVARRA,4,4,25.0,4,50.0,14.2,27.5,True,2025-04-11|2025-10-03|2025-11-01|2026-01-01
Endesa,SANTIPON,15.0,Sevilla,4,8,25.0,4,50.0,14.1,20.2,True,2021-08-01|2021-10-01|2021-12-01|2022-03-01
iDE,MONCOFAR    66.000,66.0,CASTELLÓN,4,10,50.0,2,50.0,14.1,36.9,True,2024-05-29|2024-06-25|2024-10-29|2025-10-03
Endesa,CORRALEJO,20.0,Las Palmas,4,10,50.0,4,75.0,14.0,23.2,True,2021-09-01|2021-10-01|2021-12-01|2025-10-01
iDE,GANDIA T2,20.0,VALENCIA,4,11,50.0,4,75.0,14.0,25.4,True,2024-01-31|2024-11-15|2025-10-01|2025-11-01
iDE,PESTORIL T1,15.0,MADRID,4,6,25.0,4,50.0,14.0,17.5,True,2024-06-25|2025-02-26|2025-10-01|2025-11-01
Endesa,ROTA,15.0,Cádiz,4,3,50.0,4,50.0,13.9,18.7,True,2021-11-01|2022-03-01|2025-10-01|2026-03-01
UFD,MOURENTE,20.0,PONTEVEDRA,4,4,25.0,4,50.0,13.9,19.8,True,2024-04-18|2025-10-01|2025-12-01|2026-02-01
REE,VALLDIGNA,220.0,,4,10,25.0,4,50.0,13.8,20.0,True,2024-10-01|2025-04-01|2025-05-05|2025-12-01
Endesa,EMPALME,132.0,Sevilla,4,8,25.0,4,50.0,13.7,21.4,True,2021-08-01|2021-10-01|2021-12-01|2022-03-01
Endesa,EMPALME,20.0,Sevilla,4,8,25.0,4,50.0,13.7,21.4,True,2021-08-01|2021-10-01|2021-12-01|2022-03-01
iDE,NOUMOLES T1,11.0,VALENCIA,4,11,50.0,4,75.0,13.3,21.0,True,2024-11-15|2025-02-26|2025-10-01|2025-11-01
Endesa,MAGALLON,15.0,Zaragoza,4,11,25.0,1,50.0,13.2,20.0,True,2021-11-01|2022-02-01|2022-05-01|2026-03-01
REE,BUENAVISTA GC,66.0,,4,1,25.0,2,50.0,13.0,20.0,True,2024-01-02|2024-04-01|2024-06-03|2024-12-02
REE,GUIA,66.0,,4,2,50.0,1,75.0,13.0,29.0,True,2024-02-01|2024-08-01|2025-03-03|2026-02-20
iDE,ALCIRA T1,20.0,VALENCIA,4,1,50.0,1,50.0,13.0,16.7,True,2024-01-31|2024-12-02|2025-10-01|2026-01-01
iDE,LIRIA T2,20.0,VALENCIA,4,12,25.0,4,75.0,13.0,13.7,True,2024-12-02|2025-02-26|2025-10-01|2025-11-01
Endesa,SANTIPON,132.0,Sevilla,4,8,25.0,4,50.0,12.9,20.2,True,2021-08-01|2021-10-01|2021-12-01|2022-03-01
iDE,VIVEROS T1,11.0,VALENCIA,4,11,50.0,4,75.0,12.9,21.0,True,2024-11-15|2025-02-26|2025-10-01|2025-11-01
REE,CHAYOFA,66.0,,4,3,25.0,1,50.0,12.8,20.0,True,2024-03-01|2024-07-01|2024-11-04|2025-01-02
iDE,EZCARAY T1,66.0,LA RIOJA,4,10,50.0,4,50.0,12.5,13.8,True,2024-07-23|2024-10-29|2025-10-01|2026-03-01
UFD,MORAL DE CALATRAVA,15.0,CIUDAD REAL,4,2,50.0,1,50.0,12.4,18.5,True,2025-02-25|2025-12-01|2026-02-01|2026-05-01
iDE,"ST,STR ALI A30.000",30.0,ÁLAVA,4,3,25.0,1,50.0,12.3,20.2,True,2024-03-22|2024-08-27|2025-01-30|2025-10-03
iDE,PIQUENAS T1,45.0,MADRID,4,4,25.0,4,50.0,12.2,27.9,True,2024-04-29|2024-12-02|2025-10-03|2026-01-01
iDE,CIRUENA T1,66.0,LA RIOJA,4,10,50.0,4,50.0,11.9,13.1,True,2024-07-23|2024-10-29|2025-10-01|2026-03-01
iDE,CIRUENA T2,66.0,LA RIOJA,4,10,50.0,4,50.0,11.9,13.1,True,2024-07-23|2024-10-29|2025-10-01|2026-03-01
iDE,NOUMOLES T2,11.0,VALENCIA,4,11,50.0,4,75.0,11.7,17.4,True,2024-11-15|2025-02-26|2025-10-01|2025-11-01
REE,CALA MILLOR,66.0,,4,1,25.0,4,50.0,11.5,20.0,True,2024-01-02|2024-04-01|2024-12-02|2025-10-01
REE,ARGANDA,220.0,,4,1,50.0,1,75.0,11.0,12.0,True,2024-01-02|2024-12-02|2025-01-02|2026-02-20
UFD,MORAS,15.0,LA CORUÑA,4,2,75.0,1,100.0,11.0,15.0,True,2022-02-27|2022-03-27|2025-02-25|2026-02-01
REE,FUENCALIENTE,66.0,,4,9,25.0,1,50.0,10.8,20.0,True,2024-09-02|2025-01-02|2025-12-01|2026-02-20
iDE,ESCORIAL T2,20.0,MADRID,4,7,25.0,3,50.0,10.7,14.0,True,2024-07-23|2024-09-26|2025-10-01|2025-11-01
iDE,SALINAS T2,20.0,ALICANTE,4,9,25.0,4,75.0,10.5,15.3,True,2024-09-26|2024-12-02|2025-10-01|2025-11-01
iDE,EQUINIX     66.000,66.0,MADRID,4,10,50.0,4,75.0,10.3,14.1,True,2024-06-25|2024-10-29|2025-10-01|2025-11-01
iDE,ROJALES T2,20.0,ALICANTE,4,9,25.0,4,75.0,10.0,18.7,True,2024-09-26|2024-12-02|2025-10-01|2025-11-01
iDE,LIRIA T3,20.0,VALENCIA,4,12,25.0,4,75.0,9.9,10.6,True,2024-12-02|2025-02-26|2025-10-01|2025-11-01
iDE,CARLET T2,20.0,VALENCIA,4,12,25.0,4,75.0,9.6,13.7,True,2024-12-02|2025-10-01|2025-11-01|2026-03-01
iDE,PERATA T2,15.0,MADRID,4,6,25.0,4,50.0,9.6,14.2,True,2024-06-25|2025-02-26|2025-10-01|2025-11-01
UFD,GONDOMAR,20.0,PONTEVEDRA,4,10,25.0,4,75.0,8.0,11.9,True,2022-10-23|2022-11-27|2025-01-27|2025-12-01
iDE,MOSTOLES T2,45.0,MADRID,4,4,25.0,4,50.0,8.0,9.7,True,2024-04-29|2025-02-26|2025-10-01|2025-11-01
iDE,PIARROYO T2,45.0,MADRID,4,4,25.0,4,50.0,8.0,9.7,True,2024-04-29|2025-02-26|2025-10-01|2025-11-01
iDE,LISBOA T2,15.0,MADRID,4,6,25.0,4,50.0,7.7,11.7,True,2024-06-25|2025-02-26|2025-10-01|2025-11-01
iDE,PIQUENAS T1,15.0,MADRID,4,4,25.0,4,50.0,7.2,7.4,True,2024-04-29|2024-12-02|2025-10-01|2026-01-01
iDE,MOSTOLES T2,15.0,MADRID,4,6,25.0,4,50.0,6.8,8.2,True,2024-06-25|2025-02-26|2025-10-01|2025-11-01
iDE,BELCAIRE T1,20.0,CASTELLÓN,4,2,25.0,4,50.0,6.5,8.5,True,2024-02-28|2024-12-02|2025-10-01|2026-05-01
REE,CAPDEPERA,66.0,,4,2,25.0,1,50.0,5.8,8.0,True,2024-02-01|2024-03-01|2024-07-01|2024-11-04
REE,CASTEJON,400.0,,3,12,33.3,2,66.7,238.0,621.0,True,2024-12-02|2025-04-01|2026-05-01
REE,SANT FOST,220.0,,3,2,33.3,2,66.7,191.7,390.0,True,2024-02-01|2024-04-01|2025-05-05
REE,BOADILLA,220.0,,3,9,66.7,3,66.7,154.0,182.0,True,2024-02-01|2024-09-02|2025-09-01
iDE,CABAÑAL     132.00,132.0,VALENCIA,3,6,33.3,4,66.7,150.4,323.9,True,2024-06-25|2024-12-02|2025-11-01
iDE,MELANCOL    132.00,132.0,MADRID,3,6,33.3,4,66.7,146.0,199.2,True,2024-06-25|2025-10-01|2025-11-01
REE,FUENTEBUREBA,400.0,,3,7,33.3,1,66.7,132.0,201.0,True,2024-07-01|2025-02-03|2025-03-03
iDE,P.ESPAÑA    132.00,132.0,MADRID,3,4,33.3,4,66.7,129.4,191.1,True,2025-04-11|2025-10-01|2025-11-01
iDE,CARLET      132.00,132.0,VALENCIA,3,12,33.3,4,100.0,122.0,141.1,True,2024-12-02|2025-10-01|2025-11-01
REE,SANTIZ,220.0,,3,4,33.3,2,66.7,115.0,204.0,True,2024-04-01|2024-05-16|2024-10-01
REE,SAGUNTUM,220.0,,3,6,33.3,2,66.7,100.0,150.0,True,2024-06-03|2024-12-02|2025-04-01
REE,ARROYO DE LA VEGA,220.0,,3,6,66.7,2,100.0,98.7,125.0,True,2024-04-01|2024-06-03|2025-06-02
iDE,ALCIRA      66.000,66.0,VALENCIA,3,12,33.3,4,66.7,89.8,156.9,True,2024-12-02|2025-01-30|2025-11-01
Endesa,Olèrdola,1.69706484,Barcelona,3,6,33.3,3,66.7,87.9,89.4,True,2023-06-01|2023-07-01|2023-08-01
Endesa,Candasnos,0.00888542,Huesca,3,6,33.3,3,66.7,87.8,87.8,True,2023-06-01|2023-07-01|2023-08-01
UFD,LAS MERCEDES,45.0,MADRID,3,2,33.3,1,66.7,86.3,129.5,True,2022-02-27|2024-03-21|2024-05-21
Endesa,Graus,0.35734991,Huesca,3,6,33.3,3,66.7,85.0,85.0,True,2023-06-01|2023-07-01|2023-08-01
Endesa,"Vendrell, El",1.50702352,Tarragona,3,6,33.3,3,66.7,85.0,85.0,True,2023-06-01|2023-07-01|2023-08-01
iDE,LOGROÑO     66.000,66.0,LA RIOJA,3,9,33.3,4,66.7,81.3,140.1,True,2024-09-26|2025-10-01|2025-11-01
UFD,COSLADA,45.0,MADRID,3,2,66.7,1,66.7,77.0,111.0,True,2022-02-27|2024-02-22|2024-05-21
REE,PIEROLA,220.0,,3,6,33.3,2,66.7,76.7,135.0,True,2025-06-02|2025-07-01|2026-05-01
REE,FUENLABRADA,220.0,,3,7,33.3,3,66.7,74.7,123.0,True,2024-07-01|2024-08-01|2025-04-01
REE,VIC,220.0,,3,7,66.7,3,66.7,73.0,199.0,True,2024-07-01|2025-07-01|2026-05-01
REE,FUENTES DE LA ALCARRIA,400.0,,3,7,33.3,3,66.7,69.7,80.0,True,2024-07-01|2024-08-01|2025-03-03
REE,CARTUJA,220.0,,3,1,33.3,2,66.7,69.0,162.0,True,2024-01-02|2024-04-01|2024-05-16
REE,LA PALOMA,220.0,,3,1,33.3,1,66.7,69.0,131.0,True,2024-01-02|2024-02-01|2026-05-01
REE,SANTIAGO,220.0,,3,5,66.7,2,66.7,68.0,150.0,True,2024-05-16|2024-10-01|2025-05-05
REE,BIESCAS,220.0,,3,5,66.7,2,100.0,66.7,100.0,True,2025-04-01|2025-05-05|2026-05-01
Endesa,MOGENT,110.0,Barcelona,3,4,33.3,4,66.7,64.2,106.1,True,2022-04-01|2025-10-01|2025-12-01
Endesa,OLOT,132.0,Girona,3,10,33.3,4,66.7,61.4,83.9,True,2025-10-01|2025-12-01|2026-05-01
UFD,BARRIO DEL JARAMA,45.0,MADRID,3,2,33.3,1,66.7,54.4,95.4,True,2022-02-27|2024-03-21|2024-05-21
Endesa,BORNOS,66.0,Cádiz,3,11,33.3,1,66.7,49.8,66.7,True,2021-11-01|2022-02-01|2022-03-01
REE,CORDOVILLA,220.0,,3,4,33.3,2,66.7,49.7,50.0,True,2025-04-01|2025-05-05|2026-02-20
Endesa,AGROALIM,66.0,Cádiz,3,2,33.3,1,66.7,49.1,54.3,True,2022-02-01|2022-03-01|2022-04-01
iDE,GALAPAG A1    66.000,66.0,MADRID,3,10,33.3,4,66.7,47.5,75.8,True,2025-10-01|2025-11-01|2026-03-01
Endesa,MONTILLA,66.0,Córdoba,3,10,66.7,4,66.7,44.5,80.7,True,2021-10-01|2022-04-01|2025-10-01
UFD,CANGAS 2,66.0,PONTEVEDRA,3,3,33.3,1,66.7,41.4,49.6,True,2022-03-27|2022-09-28|2025-01-27
REE,ERISTE,220.0,,3,4,66.7,2,66.7,40.0,80.0,True,2024-04-01|2024-12-02|2025-04-01
iDE,SMR EUST BA1,45.0,MADRID,3,3,33.3,4,66.7,39.0,39.0,True,2024-03-22|2025-10-01|2025-11-01
REE,ALMAZAN,400.0,,3,12,66.7,4,66.7,37.3,50.0,True,2024-08-01|2024-12-02|2025-12-01
iDE,LEGANES A2   45.000,45.0,MADRID,3,10,33.3,4,66.7,36.8,47.9,True,2025-10-01|2025-11-01|2026-05-01
Endesa,SANTUARI,66.0,Córdoba,3,11,33.3,2,66.7,36.3,69.1,True,2021-11-01|2022-04-01|2022-06-01
REE,CAPARACENA,400.0,,3,8,33.3,4,66.7,35.3,40.0,True,2024-08-01|2024-12-02|2025-10-01
Endesa,LLORET,110.0,Girona,3,4,33.3,2,66.7,34.2,55.5,True,2022-04-01|2026-03-01|2026-05-01
iDE,LEGANES A1   45.000,45.0,MADRID,3,10,33.3,4,66.7,33.4,44.9,True,2025-10-01|2025-11-01|2026-05-01
Endesa,LAGELTRU,110.0,Barcelona,3,8,33.3,2,66.7,33.2,68.8,True,2021-08-01|2022-04-01|2022-06-01
Endesa,S_ELVIRA,66.0,Sevilla,3,8,33.3,4,66.7,32.9,64.1,True,2021-08-01|2021-10-01|2021-12-01
Endesa,CARTUJA,66.0,Cádiz,3,12,33.3,4,66.7,32.8,45.2,True,2021-12-01|2022-01-01|2025-10-01
REE,GUIA DE ISORA,66.0,,3,12,66.7,4,66.7,31.0,33.0,True,2024-12-02|2025-07-01|2025-12-01
REE,VALDECONEJOS,220.0,,3,6,33.3,2,66.7,31.0,50.0,True,2025-06-02|2025-12-01|2026-05-01
Endesa,COLON,50.0,Huelva,3,3,66.7,1,66.7,30.8,50.0,True,2022-03-01|2026-03-01|2026-05-01
iDE,GALAPAGA    66.000,66.0,MADRID,3,7,33.3,3,66.7,30.7,44.9,True,2024-07-23|2024-09-26|2024-12-02
Endesa,CRUZCAMP,66.0,Sevilla,3,8,33.3,4,66.7,29.8,54.1,True,2021-08-01|2021-10-01|2021-12-01
iDE,LOS ARENALES 45.00,45.0,CÁCERES,3,11,33.3,4,100.0,29.7,45.0,True,2024-11-15|2025-10-03|2025-12-01
REE,COMPLUTUM,220.0,,3,4,33.3,2,66.7,29.3,38.0,True,2024-04-01|2024-06-03|2025-09-01
iDE,CS INGEN    132.00,132.0,CASTELLÓN,3,1,33.3,4,66.7,28.8,30.8,True,2025-01-30|2025-10-01|2025-11-01
REE,PUENTES G.R.,400.0,,3,5,33.3,3,66.7,28.7,50.0,True,2024-05-16|2025-08-01|2025-09-01
REE,CANDELARIA,66.0,,3,12,33.3,3,66.7,28.3,57.0,True,2024-12-02|2025-07-01|2025-08-01
iDE,F.S.LUIS T1,20.0,VALENCIA,3,9,33.3,4,66.7,28.2,34.7,True,2024-09-26|2025-10-01|2025-11-01
iDE,ST LAJARA   30.000,30.0,VIZCAYA,3,4,33.3,2,66.7,28.1,45.8,True,2025-04-11|2025-10-03|2026-05-01
iDE,POZUELO T4,20.0,MADRID,3,7,33.3,4,66.7,27.9,27.9,True,2024-07-23|2025-10-01|2025-11-01
iDE,ROZAS1 T1,20.0,MADRID,3,7,33.3,4,66.7,27.9,27.9,True,2024-07-23|2025-10-01|2025-11-01
iDE,ROZAS1 T2,20.0,MADRID,3,7,33.3,4,66.7,27.8,27.8,True,2024-07-23|2025-10-01|2025-11-01
iDE,ESCORIAL A2 66.000,66.0,MADRID,3,10,33.3,4,66.7,27.7,34.3,True,2025-10-01|2025-11-01|2026-03-01
iDE,MAJADAHO T4,20.0,MADRID,3,7,33.3,4,66.7,27.7,28.0,True,2024-07-23|2025-10-01|2025-11-01
iDE,POZUELO T2,20.0,MADRID,3,7,33.3,4,66.7,27.7,27.8,True,2024-07-23|2025-10-01|2025-11-01
iDE,ROZAS1 T3,20.0,MADRID,3,7,33.3,4,66.7,27.6,27.6,True,2024-07-23|2025-10-01|2025-11-01
iDE,EL GRAO T4,20.0,VALENCIA,3,4,33.3,4,66.7,27.2,27.6,True,2024-04-29|2025-10-01|2025-11-01
iDE,F.S.LUIS T3,20.0,VALENCIA,3,8,33.3,4,66.7,27.2,33.4,True,2024-08-27|2025-10-01|2025-11-01
iDE,MAJADAHO T5,20.0,MADRID,3,7,33.3,4,66.7,27.1,27.4,True,2024-07-23|2025-10-01|2025-11-01
iDE,BENICULL T1,20.0,VALENCIA,3,9,33.3,4,66.7,26.2,34.5,True,2024-09-26|2025-10-01|2025-11-01
Endesa,HOSPITALET,110.0,Barcelona,3,4,33.3,2,66.7,26.1,39.4,True,2022-04-01|2025-12-01|2026-05-01
iDE,FORTUNA T3,15.0,MADRID,3,1,33.3,4,66.7,26.1,35.0,True,2024-01-31|2025-10-01|2025-11-01
iDE,MAJADAHO T6,20.0,MADRID,3,7,33.3,4,66.7,26.1,26.4,True,2024-07-23|2025-10-01|2025-11-01
iDE,MORALZAR A1  66.000,66.0,MADRID,3,10,33.3,4,66.7,26.0,34.8,True,2025-10-01|2025-11-01|2026-03-01
UFD,LA GRELA 2,15.0,LA CORUÑA,3,6,33.3,2,66.7,25.9,54.7,True,2024-06-18|2025-10-01|2026-05-01
iDE,CERCEDILL A1 66.000,66.0,MADRID,3,10,33.3,4,66.7,25.9,32.4,True,2025-10-01|2025-11-01|2026-03-01
Endesa,CONIL,66.0,Cádiz,3,12,33.3,4,66.7,25.5,37.7,True,2021-12-01|2025-10-01|2026-05-01
REE,MATAPORQUERA,220.0,,3,2,33.3,3,66.7,25.3,46.0,True,2024-02-01|2025-07-01|2025-08-01
UFD,C.H.CASTREJON,132.0,TOLEDO,3,2,33.3,4,66.7,25.2,35.0,True,2022-02-27|2023-11-28|2025-12-01
iDE,F.S.LUIS T2,20.0,VALENCIA,3,9,33.3,4,66.7,25.2,30.4,True,2024-09-26|2025-10-01|2025-11-01
iDE,LEGANES B1   45.000,45.0,MADRID,3,10,33.3,4,66.7,25.2,27.9,True,2025-10-01|2025-11-01|2026-05-01
iDE,POZUELO T1,20.0,MADRID,3,7,33.3,4,66.7,24.8,24.9,True,2024-07-23|2025-10-01|2025-11-01
REE,SIERO,220.0,,3,5,66.7,2,66.7,24.7,55.0,True,2024-02-01|2024-05-16|2026-05-01
iDE,VILLALBA B1 66.000,66.0,MADRID,3,10,33.3,4,66.7,24.7,31.5,True,2025-10-01|2025-11-01|2026-03-01
Endesa,ABRERA,25.0,Barcelona,3,9,33.3,4,66.7,24.6,39.4,True,2021-09-01|2025-10-01|2025-12-01
iDE,LIRIA       66.000,66.0,VALENCIA,3,12,33.3,4,66.7,24.5,28.7,True,2024-12-02|2025-02-26|2025-11-01
Endesa,AMATE,66.0,Sevilla,3,8,33.3,4,66.7,24.4,38.7,True,2021-08-01|2021-10-01|2021-12-01
Endesa,S_BARRAM,15.0,Cádiz,3,2,33.3,1,66.7,24.4,39.9,True,2022-02-01|2025-10-01|2026-03-01
Endesa,DOSHMNAS,66.0,Sevilla,3,10,66.7,4,100.0,24.1,47.3,True,2021-10-01|2021-11-01|2025-10-01
REE,MIRABAL,220.0,,3,12,66.7,4,66.7,24.0,35.0,True,2024-09-02|2024-12-02|2025-12-01
iDE,LA PUNTA T2,20.0,VALENCIA,3,9,33.3,4,66.7,23.7,28.0,True,2024-09-26|2025-10-01|2025-11-01
iDE,MORVEDRE T2,20.0,VALENCIA,3,1,33.3,4,66.7,23.7,30.5,True,2024-01-31|2025-10-01|2025-11-01
REE,MURUARTE,400.0,,3,4,33.3,2,66.7,23.3,43.0,True,2025-04-01|2025-07-01|2026-05-01
iDE,RETAMAR T10,15.0,MADRID,3,8,33.3,4,66.7,23.3,35.0,True,2024-08-27|2025-10-01|2025-11-01
iDE,LA LLOMA T1,20.0,ALICANTE,3,2,33.3,4,66.7,23.2,27.4,True,2024-02-28|2025-10-01|2025-11-01
Endesa,FRANQUESES,25.0,Barcelona,3,4,33.3,2,66.7,22.7,43.5,True,2022-04-01|2026-03-01|2026-05-01
iDE,LA PUNTA T1,20.0,VALENCIA,3,9,33.3,4,66.7,22.7,26.5,True,2024-09-26|2025-10-01|2025-11-01
Endesa,NERVION,66.0,Sevilla,3,8,33.3,4,66.7,22.4,32.5,True,2021-08-01|2021-10-01|2021-12-01
iDE,INGENIO T5,20.0,CASTELLÓN,3,1,33.3,4,66.7,22.3,29.7,True,2025-01-30|2025-10-01|2025-11-01
UFD,HERENCIA,15.0,CIUDAD REAL,3,2,66.7,1,66.7,22.2,30.1,True,2025-02-25|2025-12-01|2026-02-01
Endesa,SABADELL,110.0,Barcelona,3,4,33.3,2,66.7,22.1,37.9,True,2022-04-01|2025-12-01|2026-05-01
Endesa,SILS,110.0,Girona,3,10,33.3,2,66.7,21.9,27.3,True,2021-10-01|2022-04-01|2026-05-01
Endesa,SILS,25.0,Girona,3,10,33.3,2,66.7,21.9,27.3,True,2021-10-01|2022-04-01|2026-05-01
iDE,LA PUNTA T3,20.0,VALENCIA,3,9,33.3,4,66.7,21.9,27.8,True,2024-09-26|2025-10-01|2025-11-01
iDE,JUNCAL T1,45.0,MADRID,3,3,33.3,4,66.7,21.7,24.8,True,2024-03-22|2025-10-01|2025-11-01
iDE,QUEL        66.000,66.0,LA RIOJA,3,10,66.7,4,66.7,21.7,51.3,True,2024-10-29|2025-02-26|2025-10-03
iDE,SMR TENE2 BB,45.0,MADRID,3,3,33.3,4,66.7,21.7,24.8,True,2024-03-22|2025-10-01|2025-11-01
Endesa,GABIAS,20.0,Granada,3,11,33.3,4,66.7,21.1,38.7,True,2021-11-01|2022-05-01|2025-10-01
iDE,POLIGONC T4,15.0,MADRID,3,10,66.7,4,100.0,20.7,26.0,True,2024-10-29|2025-10-01|2025-11-01
iDE,BENIDORM T2,20.0,ALICANTE,3,11,66.7,4,100.0,20.5,23.2,True,2023-11-30|2025-10-01|2025-11-01
Endesa,S_ELVIRA,132.0,Sevilla,3,8,33.3,4,66.7,20.3,39.0,True,2021-08-01|2021-10-01|2021-12-01
REE,SANTA AGUEDA,66.0,,3,4,66.7,2,66.7,20.3,24.0,True,2024-04-01|2025-04-01|2026-02-20
iDE,GANDIA T3,20.0,VALENCIA,3,10,33.3,4,66.7,20.3,27.9,True,2025-10-01|2025-11-01|2026-03-01
iDE,SMR MAQUE A1,45.0,MADRID,3,3,33.3,4,66.7,20.3,22.8,True,2024-03-22|2025-10-01|2025-11-01
iDE,LUCERO B1    45.000,45.0,MADRID,3,10,33.3,4,66.7,20.1,27.1,True,2025-10-01|2025-11-01|2026-05-01
REE,"OLIVOS, LOS",66.0,,3,3,33.3,1,66.7,20.0,32.0,True,2024-03-01|2024-04-01|2025-01-02
Endesa,PALMACON,15.0,Huelva,3,11,33.3,1,66.7,19.9,29.2,True,2021-11-01|2022-01-01|2022-02-01
UFD,LOURIZAN,20.0,PONTEVEDRA,3,2,66.7,1,100.0,19.7,34.8,True,2022-02-27|2025-01-27|2026-02-01
iDE,AGUACATE T2,15.0,MADRID,3,10,66.7,4,100.0,19.7,24.6,True,2024-10-29|2025-10-01|2025-11-01
Endesa,HEINEKEN,132.0,Sevilla,3,8,33.3,4,66.7,19.6,37.6,True,2021-08-01|2021-10-01|2021-12-01
iDE,BENIDORM T3,20.0,ALICANTE,3,12,33.3,4,100.0,19.4,26.3,True,2024-12-02|2025-10-01|2025-11-01
REE,MUELLE GRANDE,66.0,,3,2,33.3,1,66.7,19.3,36.0,True,2024-02-01|2024-03-01|2024-04-01
Endesa,LLORET,25.0,Girona,3,4,33.3,2,66.7,18.9,25.3,True,2022-04-01|2026-03-01|2026-05-01
iDE,AGUACATE T3,15.0,MADRID,3,12,33.3,4,100.0,18.5,25.9,True,2023-12-21|2025-10-01|2025-11-01
UFD,VALDEMORO,45.0,MADRID,3,2,33.3,3,66.7,18.3,25.0,True,2022-02-27|2022-09-28|2023-08-23
Endesa,CALABLAVA,15.0,Baleares,3,5,66.7,2,66.7,18.0,20.8,True,2022-05-01|2025-10-01|2026-05-01
REE,MOLINES,66.0,,3,7,33.3,4,66.7,18.0,35.0,True,2024-07-01|2024-11-04|2025-12-01
REE,SAN MATEO,66.0,,3,4,33.3,2,66.7,18.0,31.0,True,2024-04-01|2024-06-03|2024-12-02
iDE,ESCOLARE T1,45.0,MADRID,3,3,33.3,4,66.7,17.9,28.1,True,2024-03-22|2025-10-01|2025-11-01
iDE,SANTURC1 T3 30.000,30.0,VIZCAYA,3,5,33.3,4,66.7,17.8,17.9,True,2024-05-29|2025-10-01|2025-11-01
iDE,VRREAL.S T2,20.0,CASTELLÓN,3,4,33.3,4,66.7,17.8,21.0,True,2024-04-29|2025-10-01|2025-11-01
iDE,EMBAJADO T2,15.0,MADRID,3,6,33.3,4,66.7,17.6,24.9,True,2024-06-25|2025-10-01|2025-11-01
iDE,EMBAJADO T3,15.0,MADRID,3,6,33.3,4,66.7,17.6,24.9,True,2024-06-25|2025-10-01|2025-11-01
iDE,FUENLABR T1,15.0,MADRID,3,7,33.3,4,66.7,17.5,27.9,True,2024-07-23|2025-10-03|2025-12-01
iDE,MORALZAR T1,20.0,MADRID,3,7,33.3,4,66.7,17.5,17.5,True,2024-07-23|2025-10-01|2025-11-01
iDE,CERCEDIL T1,20.0,MADRID,3,7,33.3,4,66.7,17.4,17.4,True,2024-07-23|2025-10-01|2025-11-01
REE,RAFAL,66.0,,3,7,33.3,3,66.7,17.0,32.0,True,2024-07-01|2024-09-02|2024-11-04
iDE,OLVIDO T1,15.0,MADRID,3,6,33.3,4,66.7,17.0,17.5,True,2024-06-25|2025-10-01|2025-11-01
iDE,ESCORIAL B  66.000,66.0,MADRID,3,7,33.3,3,66.7,16.9,33.0,True,2024-07-23|2024-09-26|2024-10-29
REE,LA PATERNA,66.0,,3,1,33.3,1,66.7,16.7,32.0,True,2024-01-02|2024-03-01|2024-05-16
iDE,PEÑARRUBIA 132.00,132.0,MURCIA,3,11,33.3,4,66.7,16.6,29.9,True,2025-11-01|2025-12-01|2026-01-01
Endesa,GIBRLEON,15.0,Huelva,3,11,33.3,1,66.7,16.5,29.9,True,2021-11-01|2022-01-01|2022-02-01
iDE,LOGRONO T51,13.0,LA RIOJA,3,7,33.3,3,66.7,16.2,21.2,True,2024-07-23|2024-09-26|2024-12-02
iDE,STMURCIA T2,20.0,MURCIA,3,9,33.3,4,66.7,16.2,21.6,True,2024-09-26|2025-10-01|2025-11-01
Endesa,CENTRO,66.0,Málaga,3,11,33.3,2,66.7,16.1,26.1,True,2021-11-01|2022-04-01|2026-05-01
Endesa,ENRAMADI,66.0,Sevilla,3,10,33.3,2,66.7,15.9,27.2,True,2021-10-01|2022-04-01|2026-05-01
iDE,ZARZAQUE T2,15.0,MADRID,3,6,33.3,4,66.7,15.2,17.5,True,2024-06-25|2025-10-01|2025-11-01
iDE,PILEGANE T2,15.0,MADRID,3,6,33.3,4,66.7,15.1,17.4,True,2024-06-25|2025-10-01|2025-11-01
REE,JUIA,220.0,,3,2,66.7,1,66.7,15.0,20.0,True,2024-02-01|2026-02-20|2026-05-01
iDE,ARDOZ.N T5,20.0,MADRID,3,10,33.3,4,100.0,14.9,22.4,True,2025-10-01|2025-11-01|2025-12-01
iDE,MORALZAR T2,20.0,MADRID,3,7,33.3,4,66.7,14.5,17.5,True,2024-07-23|2025-10-01|2025-11-01
UFD,ABENOJAR,45.0,CIUDAD REAL,3,2,66.7,1,66.7,14.4,19.2,True,2025-02-25|2025-12-01|2026-02-01
iDE,FUENCA.M T4,20.0,MADRID,3,4,33.3,4,66.7,14.4,23.4,True,2024-04-29|2025-10-01|2025-11-01
